Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Answered_Count,Resolved_Count,month
ID1453,Dan,2021-01-26,15:37:26,Payment related,Y,Y,19.0,00:05:37,1.0,1,1,January
ID1454,Dan,2021-01-26,15:37:26,Contract related,Y,Y,68.0,00:02:44,3.0,1,1,January
ID1455,Joe,2021-01-26,16:00:29,Payment related,Y,Y,36.0,00:06:22,3.0,1,1,January
ID1456,Martha,2021-01-26,16:00:29,Payment related,Y,Y,50.0,00:01:06,4.0,1,1,January
ID1457,Becky,2021-01-26,16:06:14,Payment related,N,N,,,,0,0,January
ID1458,Greg,2021-01-26,16:06:14,Contract related,Y,Y,60.0,00:02:14,3.0,1,1,January
ID1459,Becky,2021-01-26,17:18:14,Contract related,Y,Y,38.0,00:06:58,1.0,1,1,January
ID1460,Becky,2021-01-26,17:18:14,Contract related,Y,Y,115.0,00:06:15,3.0,1,1,January
ID1461,Dan,2021-01-26,17:52:48,Streaming,Y,Y,82.0,00:06:37,1.0,1,1,January
ID1462,Jim,2021-01-26,17:52:48,Technical Support,Y,Y,34.0,00:04:18,2.0,1,1,January
ID1463,Diane,2021-01-27,09:10:05,Streaming,Y,Y,95.0,00:02:55,3.0,1,1,January
ID1464,Diane,2021-01-27,09:10:05,Contract related,Y,Y,13.0,00:03:14,5.0,1,1,January
ID1465,Becky,2021-01-27,09:38:53,Technical Support,Y,Y,22.0,00:04:12,3.0,1,1,January
ID1466,Greg,2021-01-27,09:38:53,Streaming,N,N,,,,0,0,January
ID1467,Martha,2021-01-27,09:41:46,Admin Support,Y,Y,86.0,00:02:52,1.0,1,1,January
ID1468,Joe,2021-01-27,09:41:46,Contract related,Y,Y,20.0,00:04:23,4.0,1,1,January
ID1469,Greg,2021-01-27,09:54:43,Payment related,N,N,,,,0,0,January
ID1470,Martha,2021-01-27,09:54:43,Contract related,Y,Y,36.0,00:04:21,4.0,1,1,January
ID1471,Martha,2021-01-27,09:57:36,Streaming,Y,Y,118.0,00:03:27,4.0,1,1,January
ID1472,Stewart,2021-01-27,09:57:36,Contract related,Y,Y,40.0,00:04:06,4.0,1,1,January
ID1473,Jim,2021-01-27,10:43:41,Contract related,Y,Y,97.0,00:06:37,4.0,1,1,January
ID1474,Martha,2021-01-27,10:43:41,Contract related,Y,Y,75.0,00:02:50,4.0,1,1,January
ID1475,Dan,2021-01-27,11:09:36,Technical Support,Y,Y,61.0,00:02:39,3.0,1,1,January
ID1476,Dan,2021-01-27,11:09:36,Streaming,Y,Y,125.0,00:06:05,5.0,1,1,January
ID1477,Jim,2021-01-27,12:40:19,Contract related,N,N,,,,0,0,January
ID1478,Dan,2021-01-27,12:40:19,Technical Support,Y,Y,33.0,00:05:52,5.0,1,1,January
ID1479,Martha,2021-01-27,13:00:29,Technical Support,N,N,,,,0,0,January
ID1480,Martha,2021-01-27,13:00:29,Streaming,Y,Y,50.0,00:03:51,5.0,1,1,January
ID1481,Jim,2021-01-27,13:03:22,Admin Support,Y,Y,114.0,00:04:21,3.0,1,1,January
ID1482,Jim,2021-01-27,13:03:22,Technical Support,N,N,,,,0,0,January
ID1483,Dan,2021-01-27,13:07:41,Streaming,Y,Y,58.0,00:02:01,4.0,1,1,January
ID1484,Diane,2021-01-27,13:07:41,Streaming,Y,Y,86.0,00:03:27,2.0,1,1,January
ID1485,Dan,2021-01-27,13:09:07,Streaming,Y,Y,45.0,00:03:53,5.0,1,1,January
ID1486,Dan,2021-01-27,13:09:07,Streaming,Y,Y,84.0,00:02:33,2.0,1,1,January
ID1487,Diane,2021-01-27,13:22:05,Contract related,Y,Y,15.0,00:06:54,2.0,1,1,January
ID1488,Stewart,2021-01-27,13:22:05,Admin Support,Y,Y,47.0,00:04:07,2.0,1,1,January
ID1489,Dan,2021-01-27,13:27:50,Payment related,Y,Y,27.0,00:02:37,3.0,1,1,January
ID1490,Martha,2021-01-27,13:27:50,Admin Support,Y,Y,49.0,00:01:24,4.0,1,1,January
ID1491,Joe,2021-01-27,13:52:19,Contract related,Y,Y,50.0,00:01:45,4.0,1,1,January
ID1492,Greg,2021-01-27,13:52:19,Streaming,Y,Y,87.0,00:05:01,2.0,1,1,January
ID1493,Jim,2021-01-27,14:45:36,Admin Support,Y,Y,87.0,00:06:34,3.0,1,1,January
ID1494,Jim,2021-01-27,14:45:36,Payment related,Y,Y,15.0,00:05:58,3.0,1,1,January
ID1495,Dan,2021-01-27,14:54:14,Technical Support,Y,Y,123.0,00:06:49,5.0,1,1,January
ID1496,Becky,2021-01-27,14:54:14,Payment related,Y,Y,32.0,00:04:42,3.0,1,1,January
ID1497,Stewart,2021-01-27,15:21:36,Payment related,Y,Y,10.0,00:01:25,5.0,1,1,January
ID1498,Dan,2021-01-27,15:21:36,Admin Support,Y,Y,19.0,00:04:43,2.0,1,1,January
ID1499,Becky,2021-01-27,15:23:02,Admin Support,Y,Y,10.0,00:06:04,5.0,1,1,January
ID1500,Diane,2021-01-27,15:23:02,Streaming,N,N,,,,0,0,January
ID1501,Stewart,2021-01-27,15:40:19,Streaming,Y,Y,112.0,00:02:43,4.0,1,1,January
ID1502,Becky,2021-01-27,15:40:19,Contract related,Y,N,10.0,00:03:42,4.0,1,0,January
ID1503,Jim,2021-01-27,16:00:29,Admin Support,Y,Y,26.0,00:01:56,2.0,1,1,January
ID1504,Martha,2021-01-27,16:00:29,Admin Support,Y,Y,96.0,00:06:29,4.0,1,1,January
ID1505,Dan,2021-01-27,16:01:55,Payment related,Y,Y,99.0,00:04:22,3.0,1,1,January
ID1506,Greg,2021-01-27,16:01:55,Technical Support,N,N,,,,0,0,January
ID1507,Jim,2021-01-27,16:10:34,Admin Support,Y,Y,77.0,00:03:15,5.0,1,1,January
ID1508,Joe,2021-01-27,16:10:34,Admin Support,Y,Y,16.0,00:05:21,4.0,1,1,January
ID1509,Martha,2021-01-27,16:58:05,Contract related,Y,Y,100.0,00:02:43,4.0,1,1,January
ID1510,Jim,2021-01-27,16:58:05,Contract related,Y,Y,27.0,00:05:09,3.0,1,1,January
ID1511,Becky,2021-01-27,17:00:58,Payment related,Y,Y,31.0,00:04:27,1.0,1,1,January
ID1512,Joe,2021-01-27,17:00:58,Contract related,Y,Y,33.0,00:06:32,2.0,1,1,January
ID1513,Jim,2021-01-27,17:12:29,Streaming,Y,Y,107.0,00:03:07,4.0,1,1,January
ID1514,Dan,2021-01-27,17:12:29,Payment related,Y,Y,77.0,00:06:04,3.0,1,1,January
ID1515,Jim,2021-01-27,17:18:14,Streaming,Y,Y,28.0,00:03:04,5.0,1,1,January
ID1516,Greg,2021-01-27,17:18:14,Contract related,N,N,,,,0,0,January
ID1517,Jim,2021-01-27,17:42:43,Contract related,Y,Y,93.0,00:00:56,4.0,1,1,January
ID1518,Martha,2021-01-27,17:42:43,Technical Support,N,N,,,,0,0,January
ID1519,Jim,2021-01-28,09:04:19,Streaming,Y,Y,46.0,00:04:27,5.0,1,1,January
ID1520,Joe,2021-01-28,09:04:19,Streaming,Y,Y,14.0,00:05:41,3.0,1,1,January
ID1521,Greg,2021-01-28,09:11:31,Admin Support,Y,Y,58.0,00:04:57,3.0,1,1,January
ID1522,Martha,2021-01-28,09:11:31,Payment related,Y,Y,61.0,00:05:16,3.0,1,1,January
ID1523,Martha,2021-01-28,09:12:58,Payment related,Y,Y,38.0,00:06:24,4.0,1,1,January
ID1524,Martha,2021-01-28,09:12:58,Payment related,Y,Y,39.0,00:05:36,3.0,1,1,January
ID1525,Stewart,2021-01-28,09:46:05,Technical Support,Y,Y,87.0,00:01:34,4.0,1,1,January
ID1526,Stewart,2021-01-28,09:46:05,Technical Support,Y,Y,26.0,00:01:55,2.0,1,1,January
ID1527,Greg,2021-01-28,10:04:48,Technical Support,Y,N,120.0,00:01:27,4.0,1,0,January
ID1528,Dan,2021-01-28,10:04:48,Payment related,Y,Y,123.0,00:01:57,4.0,1,1,January
ID1529,Diane,2021-01-28,10:40:48,Contract related,Y,Y,48.0,00:01:31,3.0,1,1,January
ID1530,Diane,2021-01-28,10:40:48,Streaming,Y,N,58.0,00:02:35,1.0,1,0,January
ID1531,Martha,2021-01-28,10:52:19,Contract related,Y,Y,90.0,00:04:45,3.0,1,1,January
ID1532,Dan,2021-01-28,10:52:19,Payment related,Y,Y,104.0,00:06:11,5.0,1,1,January
ID1533,Stewart,2021-01-28,11:06:43,Streaming,Y,Y,41.0,00:03:08,4.0,1,1,January
ID1534,Greg,2021-01-28,11:06:43,Technical Support,Y,Y,26.0,00:01:47,5.0,1,1,January
ID1535,Becky,2021-01-28,11:21:07,Payment related,Y,Y,66.0,00:05:44,4.0,1,1,January
ID1536,Becky,2021-01-28,11:21:07,Admin Support,Y,Y,65.0,00:01:51,5.0,1,1,January
ID1537,Becky,2021-01-28,11:29:46,Admin Support,Y,Y,22.0,00:05:02,3.0,1,1,January
ID1538,Joe,2021-01-28,11:29:46,Streaming,Y,N,96.0,00:03:54,1.0,1,0,January
ID1539,Diane,2021-01-28,11:54:14,Technical Support,Y,Y,101.0,00:04:45,4.0,1,1,January
ID1540,Becky,2021-01-28,11:54:14,Admin Support,Y,Y,124.0,00:01:38,4.0,1,1,January
ID1541,Dan,2021-01-28,11:55:41,Contract related,Y,Y,28.0,00:05:25,3.0,1,1,January
ID1542,Becky,2021-01-28,11:55:41,Contract related,Y,Y,90.0,00:03:49,3.0,1,1,January
ID1543,Martha,2021-01-28,12:46:05,Contract related,Y,Y,111.0,00:03:55,5.0,1,1,January
ID1544,Becky,2021-01-28,12:46:05,Streaming,Y,Y,123.0,00:00:41,4.0,1,1,January
ID1545,Jim,2021-01-28,13:00:29,Contract related,N,N,,,,0,0,January
ID1546,Dan,2021-01-28,13:00:29,Streaming,Y,Y,101.0,00:05:22,4.0,1,1,January
ID1547,Joe,2021-01-28,13:17:46,Admin Support,Y,Y,44.0,00:02:09,5.0,1,1,January
ID1548,Stewart,2021-01-28,13:17:46,Streaming,Y,Y,10.0,00:01:51,3.0,1,1,January
ID1549,Diane,2021-01-28,13:19:12,Streaming,Y,Y,45.0,00:03:26,1.0,1,1,January
ID1550,Stewart,2021-01-28,13:19:12,Technical Support,Y,Y,24.0,00:02:16,4.0,1,1,January
ID1551,Joe,2021-01-28,14:18:14,Payment related,Y,Y,70.0,00:05:53,1.0,1,1,January
ID1552,Martha,2021-01-28,14:18:14,Streaming,Y,Y,101.0,00:05:52,5.0,1,1,January
ID1553,Dan,2021-01-28,14:19:41,Streaming,Y,Y,23.0,00:03:16,3.0,1,1,January
ID1554,Joe,2021-01-28,14:19:41,Contract related,Y,N,86.0,00:03:51,3.0,1,0,January
ID1555,Dan,2021-01-28,14:32:38,Admin Support,Y,Y,25.0,00:02:15,2.0,1,1,January
ID1556,Jim,2021-01-28,14:32:38,Admin Support,Y,Y,46.0,00:02:57,4.0,1,1,January
ID1557,Diane,2021-01-28,14:57:07,Streaming,Y,Y,45.0,00:03:52,4.0,1,1,January
ID1558,Becky,2021-01-28,14:57:07,Technical Support,N,N,,,,0,0,January
ID1559,Greg,2021-01-28,15:53:17,Technical Support,Y,Y,93.0,00:06:31,3.0,1,1,January
ID1560,Joe,2021-01-28,15:53:17,Payment related,Y,Y,61.0,00:02:01,1.0,1,1,January
ID1561,Diane,2021-01-28,16:13:26,Streaming,N,N,,,,0,0,January
ID1562,Jim,2021-01-28,16:13:26,Streaming,Y,Y,66.0,00:02:36,3.0,1,1,January
ID1563,Greg,2021-01-28,16:19:12,Contract related,Y,Y,29.0,00:04:35,3.0,1,1,January
ID1564,Greg,2021-01-28,16:19:12,Admin Support,Y,Y,67.0,00:06:42,2.0,1,1,January
ID1565,Dan,2021-01-28,16:40:48,Contract related,Y,Y,94.0,00:01:43,4.0,1,1,January
ID1566,Joe,2021-01-28,16:40:48,Streaming,Y,N,80.0,00:05:00,4.0,1,0,January
ID1567,Dan,2021-01-28,17:03:50,Payment related,Y,Y,27.0,00:03:16,4.0,1,1,January
ID1568,Dan,2021-01-28,17:03:50,Streaming,Y,Y,41.0,00:03:17,4.0,1,1,January
ID1569,Martha,2021-01-28,17:16:48,Technical Support,Y,Y,84.0,00:04:17,4.0,1,1,January
ID1570,Greg,2021-01-28,17:16:48,Contract related,Y,Y,121.0,00:01:57,4.0,1,1,January
ID1571,Diane,2021-01-28,17:52:48,Payment related,Y,Y,61.0,00:00:43,1.0,1,1,January
ID1572,Martha,2021-01-28,17:52:48,Admin Support,N,N,,,,0,0,January
ID1573,Diane,2021-01-28,18:00:00,Payment related,Y,Y,54.0,00:06:11,2.0,1,1,January
ID1574,Stewart,2021-01-28,18:00:00,Streaming,Y,Y,82.0,00:05:46,5.0,1,1,January
ID1575,Greg,2021-01-29,09:02:53,Admin Support,Y,Y,55.0,00:03:08,4.0,1,1,January
ID1576,Jim,2021-01-29,09:02:53,Admin Support,N,N,,,,0,0,January
ID1577,Dan,2021-01-29,09:08:38,Payment related,Y,Y,87.0,00:01:09,5.0,1,1,January
ID1578,Greg,2021-01-29,09:08:38,Payment related,N,N,,,,0,0,January
ID1579,Greg,2021-01-29,09:20:10,Admin Support,Y,Y,22.0,00:04:57,3.0,1,1,January
ID1580,Stewart,2021-01-29,09:20:10,Payment related,N,N,,,,0,0,January
ID1581,Dan,2021-01-29,09:57:36,Streaming,Y,Y,95.0,00:01:46,5.0,1,1,January
ID1582,Dan,2021-01-29,09:57:36,Technical Support,Y,Y,23.0,00:06:15,4.0,1,1,January
ID1583,Greg,2021-01-29,10:20:38,Admin Support,Y,Y,43.0,00:02:05,4.0,1,1,January
ID1584,Becky,2021-01-29,10:20:38,Payment related,N,N,,,,0,0,January
ID1585,Joe,2021-01-29,10:29:17,Contract related,Y,Y,118.0,00:04:03,3.0,1,1,January
ID1586,Jim,2021-01-29,10:29:17,Payment related,Y,Y,94.0,00:01:12,3.0,1,1,January
ID1587,Diane,2021-01-29,10:50:53,Technical Support,Y,Y,59.0,00:04:55,4.0,1,1,January
ID1588,Jim,2021-01-29,10:50:53,Technical Support,N,N,,,,0,0,January
ID1589,Stewart,2021-01-29,10:52:19,Admin Support,Y,Y,92.0,00:03:13,5.0,1,1,January
ID1590,Jim,2021-01-29,10:52:19,Technical Support,Y,Y,51.0,00:02:40,2.0,1,1,January
ID1591,Diane,2021-01-29,11:57:07,Payment related,N,N,,,,0,0,January
ID1592,Greg,2021-01-29,11:57:07,Technical Support,Y,Y,11.0,00:04:23,5.0,1,1,January
ID1593,Joe,2021-01-29,12:44:38,Payment related,Y,Y,62.0,00:02:21,1.0,1,1,January
ID1594,Joe,2021-01-29,12:44:38,Technical Support,Y,Y,122.0,00:04:58,3.0,1,1,January
ID1595,Dan,2021-01-29,12:46:05,Streaming,Y,Y,37.0,00:05:23,3.0,1,1,January
ID1596,Stewart,2021-01-29,12:46:05,Payment related,Y,N,42.0,00:03:37,4.0,1,0,January
ID1597,Diane,2021-01-29,12:51:50,Technical Support,Y,Y,112.0,00:04:29,3.0,1,1,January
ID1598,Martha,2021-01-29,12:51:50,Payment related,Y,Y,98.0,00:03:09,4.0,1,1,January
ID1599,Stewart,2021-01-29,12:51:50,Payment related,Y,Y,105.0,00:03:13,2.0,1,1,January
ID1600,Diane,2021-01-29,12:51:50,Technical Support,Y,Y,78.0,00:03:03,5.0,1,1,January
ID1601,Martha,2021-01-29,13:00:29,Contract related,Y,Y,68.0,00:00:45,4.0,1,1,January
ID1602,Jim,2021-01-29,13:00:29,Contract related,Y,Y,17.0,00:05:47,3.0,1,1,January
ID1603,Diane,2021-01-29,13:04:48,Admin Support,Y,Y,23.0,00:01:20,4.0,1,1,January
ID1604,Diane,2021-01-29,13:04:48,Admin Support,Y,Y,39.0,00:01:09,1.0,1,1,January
ID1605,Greg,2021-01-29,13:12:00,Contract related,Y,Y,102.0,00:04:45,3.0,1,1,January
ID1606,Dan,2021-01-29,13:12:00,Admin Support,Y,N,75.0,00:05:30,3.0,1,0,January
ID1607,Becky,2021-01-29,13:37:55,Contract related,Y,Y,14.0,00:02:10,4.0,1,1,January
ID1608,Dan,2021-01-29,13:37:55,Payment related,Y,Y,77.0,00:02:36,3.0,1,1,January
ID1609,Diane,2021-01-29,14:11:02,Streaming,Y,N,83.0,00:00:34,4.0,1,0,January
ID1610,Stewart,2021-01-29,14:11:02,Technical Support,N,N,,,,0,0,January
ID1611,Stewart,2021-01-29,14:32:38,Contract related,N,N,,,,0,0,January
ID1612,Dan,2021-01-29,14:32:38,Admin Support,Y,Y,65.0,00:05:13,5.0,1,1,January
ID1613,Becky,2021-01-29,14:49:55,Contract related,Y,Y,23.0,00:00:45,4.0,1,1,January
ID1614,Jim,2021-01-29,14:49:55,Streaming,Y,Y,34.0,00:03:54,3.0,1,1,January
ID1615,Diane,2021-01-29,15:08:38,Technical Support,Y,Y,45.0,00:05:51,3.0,1,1,January
ID1616,Diane,2021-01-29,15:08:38,Technical Support,Y,Y,29.0,00:04:48,3.0,1,1,January
ID1617,Stewart,2021-01-29,15:21:36,Contract related,Y,Y,84.0,00:06:43,3.0,1,1,January
ID1618,Joe,2021-01-29,15:21:36,Payment related,Y,N,105.0,00:02:23,3.0,1,0,January
ID1619,Diane,2021-01-29,15:44:38,Payment related,Y,Y,75.0,00:04:18,2.0,1,1,January
ID1620,Jim,2021-01-29,15:44:38,Contract related,Y,Y,20.0,00:06:53,3.0,1,1,January
ID1621,Greg,2021-01-29,15:46:05,Admin Support,Y,Y,88.0,00:05:50,5.0,1,1,January
ID1622,Stewart,2021-01-29,15:46:05,Technical Support,Y,Y,93.0,00:03:09,5.0,1,1,January
ID1623,Dan,2021-01-29,15:51:50,Technical Support,Y,Y,65.0,00:01:48,3.0,1,1,January
ID1624,Becky,2021-01-29,15:51:50,Payment related,N,N,,,,0,0,January
ID1625,Joe,2021-01-29,16:10:34,Streaming,N,N,,,,0,0,January
ID1626,Joe,2021-01-29,16:10:34,Technical Support,N,N,,,,0,0,January
ID1627,Greg,2021-01-29,17:12:29,Payment related,Y,N,124.0,00:04:18,5.0,1,0,January
ID1628,Martha,2021-01-29,17:12:29,Contract related,Y,Y,44.0,00:02:37,4.0,1,1,January
ID1629,Greg,2021-01-29,17:41:17,Admin Support,Y,Y,28.0,00:00:39,4.0,1,1,January
ID1630,Diane,2021-01-29,17:41:17,Streaming,Y,N,43.0,00:02:08,4.0,1,0,January
ID1631,Stewart,2021-01-29,17:52:48,Technical Support,N,N,,,,0,0,January
ID1632,Stewart,2021-01-29,17:52:48,Admin Support,Y,Y,53.0,00:01:44,4.0,1,1,January
ID1633,Diane,2021-01-30,09:05:46,Contract related,Y,Y,84.0,00:01:42,4.0,1,1,January
ID1634,Becky,2021-01-30,09:05:46,Payment related,Y,Y,84.0,00:04:58,5.0,1,1,January
ID1635,Dan,2021-01-30,09:47:31,Admin Support,Y,Y,12.0,00:05:56,5.0,1,1,January
ID1636,Jim,2021-01-30,09:47:31,Contract related,Y,Y,85.0,00:03:42,3.0,1,1,January
ID1637,Diane,2021-01-30,09:53:17,Streaming,Y,Y,124.0,00:01:01,4.0,1,1,January
ID1638,Becky,2021-01-30,09:53:17,Payment related,Y,N,92.0,00:02:01,5.0,1,0,January
ID1639,Stewart,2021-01-30,10:07:41,Technical Support,Y,Y,116.0,00:03:30,1.0,1,1,January
ID1640,Joe,2021-01-30,10:07:41,Streaming,Y,Y,118.0,00:02:46,2.0,1,1,January
ID1641,Greg,2021-01-30,10:09:07,Technical Support,Y,Y,99.0,00:02:32,2.0,1,1,January
ID1642,Joe,2021-01-30,10:09:07,Payment related,Y,Y,77.0,00:04:24,4.0,1,1,January
ID1643,Jim,2021-01-30,10:27:50,Technical Support,Y,Y,57.0,00:04:26,5.0,1,1,January
ID1644,Martha,2021-01-30,10:27:50,Streaming,Y,Y,113.0,00:02:34,3.0,1,1,January
ID1645,Becky,2021-01-30,10:40:48,Payment related,Y,Y,22.0,00:00:43,3.0,1,1,January
ID1646,Diane,2021-01-30,10:40:48,Payment related,Y,Y,20.0,00:04:58,4.0,1,1,January
ID1647,Dan,2021-01-30,11:12:29,Streaming,N,N,,,,0,0,January
ID1648,Jim,2021-01-30,11:12:29,Technical Support,Y,Y,23.0,00:05:59,5.0,1,1,January
ID1649,Jim,2021-01-30,11:26:53,Contract related,Y,Y,79.0,00:04:34,4.0,1,1,January
ID1650,Stewart,2021-01-30,11:26:53,Contract related,Y,N,94.0,00:06:56,5.0,1,0,January
ID1651,Jim,2021-01-30,11:52:48,Technical Support,Y,Y,118.0,00:02:13,4.0,1,1,January
ID1652,Martha,2021-01-30,11:52:48,Admin Support,Y,N,68.0,00:02:38,2.0,1,0,January
ID1653,Diane,2021-01-30,12:17:17,Streaming,Y,Y,53.0,00:01:24,3.0,1,1,January
ID1654,Stewart,2021-01-30,12:17:17,Admin Support,Y,Y,52.0,00:06:10,3.0,1,1,January
ID1655,Dan,2021-01-30,12:23:02,Payment related,Y,Y,13.0,00:05:51,3.0,1,1,January
ID1656,Diane,2021-01-30,12:23:02,Contract related,Y,Y,78.0,00:04:34,5.0,1,1,January
ID1657,Dan,2021-01-30,12:37:26,Contract related,Y,Y,32.0,00:02:05,4.0,1,1,January
ID1658,Martha,2021-01-30,12:37:26,Contract related,N,N,,,,0,0,January
ID1659,Martha,2021-01-30,12:40:19,Admin Support,Y,Y,13.0,00:02:03,4.0,1,1,January
ID1660,Greg,2021-01-30,12:40:19,Streaming,Y,N,91.0,00:04:01,3.0,1,0,January
ID1661,Jim,2021-01-30,12:44:38,Admin Support,Y,Y,41.0,00:01:28,3.0,1,1,January
ID1662,Becky,2021-01-30,12:44:38,Streaming,Y,Y,69.0,00:06:58,2.0,1,1,January
ID1663,Stewart,2021-01-30,12:48:58,Payment related,Y,Y,116.0,00:06:13,4.0,1,1,January
ID1664,Becky,2021-01-30,12:48:58,Payment related,Y,N,98.0,00:06:11,5.0,1,0,January
ID1665,Dan,2021-01-30,12:51:50,Payment related,Y,Y,16.0,00:04:08,1.0,1,1,January
ID1666,Martha,2021-01-30,12:51:50,Technical Support,Y,Y,43.0,00:01:54,1.0,1,1,January
ID1667,Dan,2021-01-30,13:03:22,Streaming,Y,Y,17.0,00:03:40,5.0,1,1,January
ID1668,Becky,2021-01-30,13:03:22,Technical Support,Y,Y,27.0,00:02:47,5.0,1,1,January
ID1669,Becky,2021-01-30,13:39:22,Admin Support,Y,Y,88.0,00:06:12,5.0,1,1,January
ID1670,Dan,2021-01-30,13:39:22,Technical Support,Y,N,45.0,00:06:50,4.0,1,0,January
ID1671,Joe,2021-01-30,14:00:58,Technical Support,Y,N,19.0,00:02:16,4.0,1,0,January
ID1672,Joe,2021-01-30,14:00:58,Payment related,N,N,,,,0,0,January
ID1673,Stewart,2021-01-30,14:09:36,Contract related,Y,Y,85.0,00:03:04,4.0,1,1,January
ID1674,Stewart,2021-01-30,14:09:36,Payment related,N,N,,,,0,0,January
ID1675,Stewart,2021-01-30,14:11:02,Payment related,Y,N,122.0,00:03:36,3.0,1,0,January
ID1676,Becky,2021-01-30,14:11:02,Technical Support,Y,Y,78.0,00:05:41,2.0,1,1,January
ID1677,Joe,2021-01-30,14:36:58,Payment related,Y,N,68.0,00:01:05,2.0,1,0,January
ID1678,Greg,2021-01-30,14:36:58,Streaming,Y,Y,33.0,00:04:35,3.0,1,1,January
ID1679,Becky,2021-01-30,15:00:00,Payment related,Y,Y,19.0,00:05:57,1.0,1,1,January
ID1680,Martha,2021-01-30,15:00:00,Contract related,Y,Y,97.0,00:06:53,5.0,1,1,January
ID1681,Joe,2021-01-30,15:38:53,Payment related,Y,Y,33.0,00:01:19,2.0,1,1,January
ID1682,Martha,2021-01-30,15:38:53,Admin Support,Y,Y,124.0,00:04:48,5.0,1,1,January
ID1683,Stewart,2021-01-30,15:44:38,Admin Support,Y,Y,78.0,00:05:09,1.0,1,1,January
ID1684,Diane,2021-01-30,15:44:38,Payment related,N,N,,,,0,0,January
ID1685,Dan,2021-01-30,15:51:50,Technical Support,Y,Y,111.0,00:02:35,5.0,1,1,January
ID1686,Diane,2021-01-30,15:51:50,Contract related,Y,Y,27.0,00:03:37,5.0,1,1,January
ID1687,Dan,2021-01-30,15:59:02,Technical Support,Y,Y,18.0,00:04:41,3.0,1,1,January
ID1688,Greg,2021-01-30,15:59:02,Streaming,Y,Y,31.0,00:04:18,4.0,1,1,January
ID1689,Stewart,2021-01-30,16:13:26,Admin Support,Y,N,65.0,00:03:41,4.0,1,0,January
ID1690,Becky,2021-01-30,16:13:26,Admin Support,N,N,,,,0,0,January
ID1691,Becky,2021-01-30,16:19:12,Technical Support,Y,Y,91.0,00:00:50,3.0,1,1,January
ID1692,Stewart,2021-01-30,16:19:12,Technical Support,Y,Y,71.0,00:01:27,2.0,1,1,January
ID1693,Greg,2021-01-30,16:19:12,Contract related,N,N,,,,0,0,January
ID1694,Stewart,2021-01-30,16:19:12,Contract related,Y,Y,78.0,00:04:26,3.0,1,1,January
ID1695,Jim,2021-01-30,16:32:10,Technical Support,N,N,,,,0,0,January
ID1696,Jim,2021-01-30,16:32:10,Contract related,N,N,,,,0,0,January
ID1697,Dan,2021-01-30,16:49:26,Technical Support,N,N,,,,0,0,January
ID1698,Jim,2021-01-30,16:49:26,Admin Support,Y,Y,107.0,00:03:17,3.0,1,1,January
ID1699,Dan,2021-01-30,16:52:19,Streaming,Y,Y,17.0,00:03:12,3.0,1,1,January
ID1700,Becky,2021-01-30,16:52:19,Contract related,Y,Y,53.0,00:03:40,1.0,1,1,January
ID1701,Diane,2021-01-30,17:09:36,Technical Support,Y,Y,49.0,00:06:33,5.0,1,1,January
ID1702,Greg,2021-01-30,17:09:36,Streaming,Y,Y,33.0,00:01:05,5.0,1,1,January
ID1703,Diane,2021-01-30,17:12:29,Streaming,Y,Y,103.0,00:03:39,2.0,1,1,January
ID1704,Greg,2021-01-30,17:12:29,Payment related,Y,Y,114.0,00:03:22,3.0,1,1,January
ID1705,Stewart,2021-01-30,17:18:14,Contract related,N,N,,,,0,0,January
ID1706,Jim,2021-01-30,17:18:14,Admin Support,N,N,,,,0,0,January
ID1707,Martha,2021-01-30,17:25:26,Payment related,N,N,,,,0,0,January
ID1708,Dan,2021-01-30,17:25:26,Streaming,Y,Y,38.0,00:06:51,2.0,1,1,January
ID1709,Stewart,2021-01-30,17:29:46,Contract related,Y,N,50.0,00:01:19,2.0,1,0,January
ID1710,Becky,2021-01-30,17:29:46,Contract related,Y,N,33.0,00:03:56,4.0,1,0,January
ID1711,Stewart,2021-01-30,17:31:12,Payment related,Y,Y,97.0,00:02:52,3.0,1,1,January
ID1712,Jim,2021-01-30,17:31:12,Streaming,Y,Y,20.0,00:05:07,5.0,1,1,January
ID1713,Dan,2021-01-31,09:00:00,Payment related,Y,N,100.0,00:06:22,5.0,1,0,January
ID1714,Becky,2021-01-31,09:00:00,Payment related,Y,Y,114.0,00:05:42,4.0,1,1,January
ID1715,Greg,2021-01-31,09:08:38,Payment related,Y,Y,27.0,00:03:12,3.0,1,1,January
ID1716,Joe,2021-01-31,09:08:38,Contract related,Y,Y,119.0,00:02:42,4.0,1,1,January
ID1717,Becky,2021-01-31,09:14:24,Technical Support,Y,Y,30.0,00:00:59,5.0,1,1,January
ID1718,Stewart,2021-01-31,09:14:24,Contract related,Y,Y,23.0,00:06:40,3.0,1,1,January
ID1719,Diane,2021-01-31,09:24:29,Contract related,Y,Y,32.0,00:06:00,1.0,1,1,January
ID1720,Greg,2021-01-31,09:24:29,Streaming,N,N,,,,0,0,January
ID1721,Diane,2021-01-31,09:27:22,Payment related,Y,N,67.0,00:00:58,1.0,1,0,January
ID1722,Becky,2021-01-31,09:27:22,Streaming,Y,Y,16.0,00:05:36,5.0,1,1,January
